X_cadv,Y_cadv,V_cadv,a_cadv,A_cadv,V_cadv_x,V_cadv_y,TH,X_left_front,Y_left_front,X_left,Y_left,X_left_behind,Y_left_behind,X_front,Y_front,X_behind,Y_behind,X_right_front,Y_right_front,X_right,Y_right,X_right_behind,Y_right_behind,V_x_left_front,V_y_left_front,V_x_left,V_y_left,V_x_left_behind,V_y_left_behind,V_x_front,V_y_front,V_x_behind,V_y_behind,V_x_right_front,V_y_right_front,V_x_right,V_y_right,V_x_right_behind,V_y_right_behind,V,K,Q,TOT
1.416749797,35.57783656,-5.68,-0.75,3.14,0.05,-22.05,-1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.129056384,-0.240973729,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-3.129056384,-0.240973729,9999,9999,13.83333333,0.21686747,3,8.682
-3.234982705,63.14806944,6.81,0.74,-0.03,-0.9,25.71,9999,9999,9999,9999,9999,1.970337405,36.51157818,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.970337405,36.51157818,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,20.7575,0.192701433,4,5.835
-0.646912073,35.23238829,-6.14,0.27,-3.03,-2.33,-21.39,-1,2.491372411,-10.71266186,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2.491372411,-10.71266186,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,15.745,0.127024452,2,5.779
2.416042995,35.50707773,-1.93,2.32,2.92,0.52,-2.35,9999,9999,9999,9999,9999,9999,9999,0.0654122,-1.176832869,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.0654122,-1.176832869,9999,9999,9999,9999,9999,9999,9999,9999,11.07666667,0.270839603,3,5.424
6.456794813,64.68782245,3.46,0.27,-0.03,-0.4,12.97,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-7.846665771,-0.712168193,-10.70544295,4.791409996,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-7.846665771,-0.712168193,-10.70544295,4.791409996,10.53333333,0.284810127,3,5.232
-0.520036444,35.28394357,-6.44,-0.65,-3.08,-1.59,-24.49,9999,5.342586109,-6.243567257,9999,9999,9999,9999,0.304525411,-1.951863749,9999,9999,9999,9999,9999,9999,9999,9999,5.342586109,-6.243567257,9999,9999,9999,9999,0.304525411,-1.951863749,9999,9999,9999,9999,9999,9999,9999,9999,15.4,0.454545455,7,4.682
-2.294871337,64.443628,3.3,0.92,-0.14,-1.9,13.78,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,11.605,0.172339509,2,9.484
-0.971027593,64.98999125,3.65,-1.81,1.25,8.76,2.9,9999,9999,9999,9999,9999,9999,9999,0.542883473,-5.659975413,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.542883473,-5.659975413,9999,9999,9999,9999,9999,9999,9999,9999,17.14333333,0.349990278,6,4.812
2.106206347,35.69447417,-5.18,-1.81,3.1,0.97,-22.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9.08,0.330396476,3,8.007
-3.661681697,63.73391415,3.67,-0.51,-0.02,-0.23,11.96,9999,9999,9999,9999,9999,9999,9999,-1.062858911,-20.11700228,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.062858911,-20.11700228,9999,9999,9999,9999,9999,9999,9999,9999,9.29,0.107642626,1,5.499
-2.543522559,56.58245361,5.56,0,0,20,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,14.6825,0.272433169,4,5.556
2.700161782,35.72928781,-5.02,-4.12,3.13,0.28,-27.13,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-4.129711002,433.4251532,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-4.129711002,433.4251532,16.1525,0.247639684,4,4.805
1.591024163,36.34459927,-3.95,-4.51,3.12,0.47,-26.48,-1,9999,9999,9999,9999,4.877591059,44.60151911,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4.877591059,44.60151911,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,10.415,0.38406145,4,5.271
-3.713691893,64.73559557,6.37,3.44,-0.06,-1.89,30.79,9999,9999,9999,9999,9999,9999,9999,0.260403726,-1.637845716,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.260403726,-1.637845716,9999,9999,9999,9999,9999,9999,9999,9999,15.5075,0.257939707,4,9.533
-3.867983473,43.2660436,5.56,0,0,20,0,9999,9999,9999,9999,9999,1.802108912,9.68650941,0.064485302,-3.886391386,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.802108912,9.68650941,0.064485302,-3.886391386,9999,9999,9999,9999,9999,9999,9999,9999,17.5,0.228571429,4,5.468
4.13803636,35.8090262,-3.54,-2.74,-3.09,-1,-19.89,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.373655799,91.68660645,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.373655799,91.68660645,9999,9999,9999,9999,9999,9999,12.42666667,0.241416309,3,4.911
-2.61095584,60.30030532,3.66,0.17,-0.07,-0.98,13.49,9999,4.561715888,-17.71808904,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4.561715888,-17.71808904,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,15.74,0.317662008,5,5.417
2.045525111,35.17235387,-5.84,0.15,3.06,1.7,-20.61,9999,9999,9999,9999,9999,9999,9999,9999,9999,-0.13211365,1.591275838,9999,9999,9999,9999,-8.216462648,14.36758807,9999,9999,9999,9999,9999,9999,9999,9999,-0.13211365,1.591275838,9999,9999,9999,9999,-8.216462648,14.36758807,14.8525,0.53862986,8,7.746
-3.528912406,64.1792413,5.45,-0.08,0.02,0.47,19.22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13.6,0.220588235,3,6.174
2.92806253,35.47345711,-4.38,-2.15,3.13,0.31,-21.56,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,21.06333333,0.142427599,3,5.081
6.097201009,64.92167315,5.56,0,0,20,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6.15,0.487804878,3,3.83
6.153983355,64.64120414,5.56,0,0,20,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,14.13,0.353857042,5,4.909
2.186901111,35.5073678,-2.77,-0.84,3.06,0.99,-11.71,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.606501941,24.02194759,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,-1.606501941,24.02194759,11.51666667,0.260492041,3,5.814
3.230570437,35.36233116,-4.42,-0.46,-3.11,-0.59,-16.91,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,11.35833333,0.528246515,6,8.583
3.098628873,35.03842301,-2.88,1.15,3.08,0.48,-7.93,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,14.75,0.203389831,3,6.081
-0.027202475,64.42214947,4.95,0.7,-0.02,-0.45,19.33,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13.646,0.366407739,5,5.645
-3.697796165,63.36669685,5.38,-0.91,0.02,0.35,18.97,9999,6.975745158,-22.06249395,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6.975745158,-22.06249395,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13.55,0.442804428,6,4.365
-2.212165411,64.47410923,10.65,-4.19,0.02,0.56,29.07,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,14.52333333,0.413128299,6,7.603
-1.226387223,61.52517817,4.92,-1.02,-0.13,-1.94,15.28,0,9999,9999,9999,9999,9999,9999,0.040355496,-0.500810961,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0.040355496,-0.500810961,9999,9999,9999,9999,9999,9999,9999,9999,11.26,0.26642984,3,10.608
